dataset,feature,method,n_users,rho_raw_mean,rho_raw_sd,rho_centered_mean,rho_centered_sd,raw_low_to_high_mean,raw_low_to_high_sd,centered_low_to_high_mean,centered_low_to_high_sd,rho_raw_sign,rho_centered_sign,centered_effect_sign
instacart,target_last_jaccard,recency,4124.0,0.7710904823372551,0.004886807435063423,0.22292858085872577,0.025400366495943214,0.5899148612630124,0.004037979931436284,0.13326207401469545,0.013960997066306737,positive,positive,positive
instacart,target_last_jaccard,tifuknn,4124.0,0.6596144940085079,0.006942331275238081,0.3966975060004399,0.011032316238712016,0.5700970963823763,0.008566407880498422,0.11344430913405919,0.0021951337121718893,positive,positive,positive
instacart,target_last_jaccard,triple2vec,4124.0,0.5924985235347419,0.02693999501923265,0.22212490261906082,0.03599075763018961,0.5134807767721008,0.022312993612156044,0.05682798952378381,0.01248674081209455,positive,positive,positive
instacart,target_neighbor_support,cbp,4124.0,0.46698226508799684,0.015126859651206612,0.226299563747712,0.026491951112813994,0.4450939695117136,0.024619794689389633,0.07045486985724705,0.006557616826990065,positive,positive,positive
instacart,target_neighbor_support,diffrec,4124.0,0.48737892118567866,0.004050497537795199,0.15109521219529823,0.020361994453611088,0.4202478529521005,0.013260918466651533,0.0456087532976339,0.005970474501443713,positive,positive,positive
instacart,target_neighbor_support,dnntsp,4124.0,0.43458128576803673,0.0038930529207556385,0.09700978682135182,0.021595931362324215,0.3877062253488239,0.009235421765162977,0.01306712569435728,0.012795383038559982,positive,positive,mixed
instacart,target_neighbor_support,fpmc,4124.0,0.29217566885793256,0.011373909557077894,-0.32592054566757617,0.016187764218857384,0.15939514634921823,0.012825220231334773,-0.21524395330524837,0.007489465260804862,positive,negative,negative
instacart,target_neighbor_support,frequency,4124.0,0.46852589312054854,0.010112585462851938,0.23998390480370177,0.01286838958341126,0.44950778684015624,0.020029442005146135,0.07486868718568968,0.0030284523909856267,positive,positive,positive
instacart,target_neighbor_support,recency,4124.0,0.3638552735416755,0.015782434200762446,-0.11848284135077554,0.021311293650862213,0.29875691435374857,0.010352646281711682,-0.07588218530071798,0.009811336735251613,positive,negative,negative
instacart,target_neighbor_support,tifuknn,4124.0,0.4575615902826511,0.015982574282119192,0.18895525012910852,0.022068420562406786,0.436820642852836,0.026629523617061713,0.062181543198369375,0.010195737030162797,positive,positive,positive
instacart,target_neighbor_support,triple2vec,4124.0,0.4099102275098727,0.036090532994853604,0.08341348393431151,0.050584364753162976,0.3995842590271357,0.03394536372773757,0.02494515937266911,0.01578157621919249,positive,positive,positive
instacart,target_novelty_fraction,cbp,4124.0,-0.4607533727316478,0.013194913878110918,-0.27811379836000416,0.00760485888251251,-0.3796810008076568,0.015005919340473434,-0.07937313367552142,0.0053820170138848804,negative,negative,negative
instacart,target_novelty_fraction,diffrec,4124.0,-0.38641373403433305,0.01440287098331211,-0.026223491483870598,0.01957341207375268,-0.2888334761984489,0.011134164785060316,0.011474390933686475,0.007206540311574532,negative,negative,positive
instacart,target_novelty_fraction,dnntsp,4124.0,-0.41531083390277906,0.016822892763511253,-0.12311773411927178,0.002225405350979666,-0.31810287198501963,0.015304895448442086,-0.01779500485288428,0.0034759415982725866,negative,negative,negative
instacart,target_novelty_fraction,fpmc,4124.0,-0.15665367796789986,0.018716248995589362,0.37258526537525277,0.014382457938924717,-0.07015042875234037,0.009376840911942423,0.230157438379795,0.0035809017958011655,negative,positive,positive
instacart,target_novelty_fraction,frequency,4124.0,-0.4522408009362177,0.011291803890605284,-0.26683348512836186,0.003398528088361396,-0.37351379839749255,0.01182328947154615,-0.0732059312653572,0.0015788652431062014,negative,negative,negative
instacart,target_novelty_fraction,recency,4124.0,-0.30155117958854954,0.016522029323814556,0.15166563367494368,0.013151309617001042,-0.23371845668436228,0.00907531598936379,0.06658941044777306,0.006414401029914005,negative,positive,positive
