dataset,method_a,method_b,feature,rho_keyset0,rho_keyset1,rho_keyset2,mean_rho,mean_abs_rho,min_rho,max_rho,rho_range,sign_pattern,consistent_signs,abs_mean_rho,n_valid_keysets,rho_sd,max_deviation_from_mean,replication_status,replicated
tmall,recency,sets2sets,recency_frequency_disagreement,-0.0204916915377143,-0.0141253406454055,0.0069418454253021,-0.0092250622526059,0.0138529592028073,-0.0204916915377143,0.0069418454253021,0.0274335369630165,mixed,False,0.0092250622526059,3,0.011723460348676943,0.016166907677908002,mixed,False
tmall,recency,sets2sets,recent_basket_novelty,-0.0156239936443236,-0.0086718985007601,0.0057558736651437,-0.00618000615998,0.0100172552700758,-0.0156239936443236,0.0057558736651437,0.0213798673094674,mixed,False,0.00618000615998,3,0.008904374472551345,0.0119358798251237,mixed,False
tmall,recency,sets2sets,repeat_rate,-0.0290866302759835,-0.0237716908499799,-0.0080651889259477,-0.0203078366839704,0.0203078366839704,-0.0290866302759835,-0.0080651889259477,0.0210214413500357,---,True,0.0203078366839704,3,0.008924646150624495,0.0122426477580227,negative,True
tmall,recency,sets2sets,transition_predictability,-0.0024232870321272,0.0640916131787524,-0.0299784638597804,0.0105632874289482,0.03216445469022,-0.0299784638597804,0.0640916131787524,0.0940700770385329,mixed,False,0.0105632874289482,3,0.03948656468288648,0.05352832574980419,mixed,False
tmall,recency,tifuknn,adjacent_basket_jaccard,-0.0029426554950412,-0.0146177681602915,-0.0029961629878869,-0.0068521955477399,0.0068521955477399,-0.0146177681602915,-0.0029426554950412,0.0116751126652503,---,True,0.0068521955477399,3,0.005491132503928897,0.007765572612551601,negative,True
tmall,recency,tifuknn,avg_basket_size,-0.0316444760966827,-0.0439071588850828,-0.0258726400520506,-0.0338080916779387,0.0338080916779387,-0.0439071588850828,-0.0258726400520506,0.0180345188330322,---,True,0.0338080916779387,3,0.007519835621977323,0.010099067207144104,negative,True
tmall,recency,tifuknn,cooccurrence_support,-0.0049070480840972,-0.0137411940833927,-0.000465697121493,-0.0063713130963276,0.0063713130963276,-0.0137411940833927,-0.000465697121493,0.0132754969618997,---,True,0.0063713130963276,3,0.0055177144372094075,0.0073698809870651,negative,True
tmall,recency,tifuknn,n_baskets,-0.0230204848856837,-0.0434767256992151,-0.009425070514782,-0.0253074270332269,0.0253074270332269,-0.0434767256992151,-0.009425070514782,0.034051655184433,---,True,0.0253074270332269,3,0.013995270236512994,0.018169298665988202,negative,True
tmall,recency,tifuknn,neighbor_similarity,0.0073556051205876,0.0112395802843074,0.0002718692299773,0.0062890182116241,0.0062890182116241,0.0002718692299773,0.0112395802843074,0.01096771105433,+++,True,0.0062890182116241,3,0.004540622363259461,0.006017148981646799,positive,True
tmall,recency,tifuknn,popularity_profile,0.0135132575439206,0.0136020157911641,-0.0091606123084866,0.005984887008866,0.0120919618811904,-0.0091606123084866,0.0136020157911641,0.0227626280996508,mixed,False,0.005984887008866,3,0.010709546572585297,0.015145499317352599,mixed,False
tmall,recency,tifuknn,recency_frequency_disagreement,-0.0427647253846235,-0.0231878192932118,-0.0119750720980624,-0.0259758722586326,0.0259758722586326,-0.0427647253846235,-0.0119750720980624,0.030789653286561,---,True,0.0259758722586326,3,0.012723485289813595,0.016788853125990905,negative,True
tmall,recency,tifuknn,recent_basket_novelty,-0.04049729001053,0.0035360947716124,0.0246793239972403,-0.0040939570805591,0.0229042362597942,-0.04049729001053,0.0246793239972403,0.0651766140077703,mixed,False,0.0040939570805591,3,0.027149720954116507,0.0364033329299709,mixed,False
tmall,recency,tifuknn,repeat_rate,-0.0055268550408877,-0.0290769513878067,-0.0075154127415499,-0.0140397397234147,0.0140397397234147,-0.0290769513878067,-0.0055268550408877,0.0235500963469189,---,True,0.0140397397234147,3,0.010663860820922516,0.015037211664392,negative,True
tmall,recency,tifuknn,transition_predictability,0.0021397364349768,0.0195453033363263,-0.0428014219174774,-0.0070387940487247,0.0214954872295935,-0.0428014219174774,0.0195453033363263,0.0623467252538037,mixed,False,0.0070387940487247,3,0.026267376519788443,0.0357626278687527,mixed,False
