dataset,keyset,method_a,method_b,mean_delta,median_delta,p10_delta,p90_delta,a_better_share,b_better_share,tie_share,two_sided_share
tafeng,0,recency,cbp,-0.035799016413145875,0.0,-0.2463023887407299,0.1251739405390885,0.12889761846304934,0.18536705131352813,0.6857353302234226,0.12889761846304934
tafeng,0,recency,diffrec,-0.01699139629428754,0.0,-0.1681275362711174,0.0444061620977195,0.10974711514853916,0.1468205254112448,0.743432359440216,0.10974711514853916
tafeng,0,frequency,racf,-0.001471343362960324,0.0,0.0,0.0,0.06555364596120795,0.07267370488583354,0.8617726491529585,0.06555364596120795
tafeng,0,frequency,tifuknn,0.011467305652567655,0.0,0.0,0.038375025124466305,0.10999263442180211,0.09133316965381783,0.79867419592438,0.09133316965381783
tafeng,0,frequency,fpmc,0.021434630896300218,0.0,-0.169580102636808,0.32256723685050565,0.20574515099435306,0.12447827154431623,0.6697765774613307,0.12447827154431623
tafeng,0,frequency,triple2vec,0.006351200142984979,0.0,0.0,0.044406162097719526,0.11686717407316474,0.08765038055487356,0.7954824453719617,0.08765038055487356
tafeng,0,frequency,sets2sets,0.0016429021012121464,0.0,-0.169580102636808,0.19309185543090962,0.16719862509206973,0.14583844831819298,0.6869629265897373,0.14583844831819298
tafeng,0,frequency,dnntsp,-0.0012426085767192523,0.0,-0.1875018574743523,0.20795512776127434,0.17309108765038056,0.1532040265160815,0.6737048858335379,0.1532040265160815
tafeng,0,frequency,cbp,-0.009475202029055049,0.0,-0.1251739405390885,0.1312050775123417,0.1632703167198625,0.12079548244537196,0.7159342008347656,0.12079548244537196
tafeng,0,frequency,diffrec,0.009332418089803285,0.0,0.0,0.05111236374467912,0.12030444389884606,0.08421311072919224,0.7954824453719617,0.08421311072919224
tafeng,0,racf,tifuknn,0.012938649015527978,0.0,0.0,0.057638020291404614,0.11563957770684999,0.09084213110729192,0.793518291185858,0.09084213110729192
tafeng,0,racf,fpmc,0.02290597425926054,0.0,-0.1460683498427064,0.339160205273616,0.2064817088141419,0.11907684753253131,0.6744414436533268,0.11907684753253131
tafeng,0,racf,triple2vec,0.007822543505945303,0.0,0.0,0.06791791489182111,0.12104100171863491,0.08470414927571815,0.7942548490056469,0.08470414927571815
tafeng,0,racf,sets2sets,0.003114245464172471,0.0,-0.169580102636808,0.19256838673281335,0.17407316474343235,0.1411735821261969,0.6847532531303707,0.1411735821261969
tafeng,0,racf,dnntsp,0.0002287347862410714,0.0,-0.169580102636808,0.1951900249960508,0.17751043456911367,0.14755708323103364,0.6749324821998527,0.14755708323103364
tafeng,0,racf,cbp,-0.008003858666094724,0.0,-0.0827811872221858,0.1312050775123417,0.15713233488828873,0.12128652099189786,0.7215811441198134,0.12128652099189786
tafeng,0,racf,diffrec,0.010803761452763608,0.0,0.0,0.06791791489182111,0.12275963663147557,0.07905720599067027,0.7981831573778542,0.07905720599067027
tafeng,0,tifuknn,fpmc,0.009967325243732564,0.0,-0.1951900249960508,0.339160205273616,0.20058924625583108,0.13650871593420083,0.662902037809968,0.13650871593420083
tafeng,0,tifuknn,triple2vec,-0.005116105509582676,0.0,-0.023511752794101615,0.06144254795448692,0.1185858089860054,0.10508224895654308,0.7763319420574515,0.10508224895654308
tafeng,0,tifuknn,sets2sets,-0.009824403551355507,0.0,-0.2139862647345275,0.19309185543090962,0.175791799656273,0.16007856616744415,0.6641296341762828,0.16007856616744415
tafeng,0,tifuknn,dnntsp,-0.012709914229286908,0.0,-0.2139862647345275,0.1951900249960508,0.1689172600049104,0.16670758654554382,0.6643751534495458,0.16670758654554382
tafeng,0,tifuknn,cbp,-0.020942507681622702,0.0,-0.169580102636808,0.1460683498427064,0.16449791308617726,0.14338325558556347,0.6921188313282592,0.14338325558556347
tafeng,0,tifuknn,diffrec,-0.0021348875627643696,0.0,-0.06188677791856793,0.1251739405390885,0.1291431377363123,0.11490301988706113,0.7559538423766266,0.11490301988706113
tafeng,0,fpmc,triple2vec,-0.01508343075331524,0.0,-0.2772734273550482,0.169580102636808,0.12349619445126442,0.19616989933709797,0.6803339062116376,0.12349619445126442
tafeng,0,fpmc,sets2sets,-0.01979172879508807,0.0,-0.169580102636808,0.0,0.06751780014731157,0.15344954578934447,0.779032654063344,0.06751780014731157
tafeng,0,fpmc,dnntsp,-0.022677239473019473,0.0,-0.1672118221496047,0.0,0.06555364596120795,0.13380800392830838,0.8006383501104837,0.06555364596120795
tafeng,0,fpmc,cbp,-0.030909832925355263,0.0,-0.2110136102684539,0.0,0.06260741468205254,0.1794745887552173,0.7579179965627302,0.06260741468205254
tafeng,0,fpmc,diffrec,-0.012102212806496931,0.0,-0.2139862647345275,0.1456702121244398,0.1185858089860054,0.17922906948195433,0.7021851215320403,0.1185858089860054
tafeng,0,triple2vec,sets2sets,-0.004708298041772831,0.0,-0.1951900249960508,0.19047451194042597,0.16056960471397005,0.15860545052786643,0.6808249447581635,0.15860545052786643
tafeng,0,triple2vec,dnntsp,-0.007593808719704231,0.0,-0.1947703910830225,0.169580102636808,0.16204272035354775,0.16155168180702184,0.6764055978394304,0.16155168180702184
tafeng,0,triple2vec,cbp,-0.01582640217204003,0.0,-0.1460683498427064,0.12517394053908865,0.14657500613798183,0.13356248465504542,0.7198625092069727,0.13356248465504542
tafeng,0,triple2vec,diffrec,0.002981217946818306,0.0,-0.06791791489182111,0.1251739405390885,0.12300515590473853,0.12226859808494966,0.7547262460103118,0.12226859808494966
tafeng,0,sets2sets,dnntsp,-0.0028855106779314,0.0,-0.06791791489182111,0.06791791489182111,0.11563957770684999,0.11686717407316474,0.7674932482199852,0.11563957770684999
tafeng,0,sets2sets,cbp,-0.011118104130267193,0.0,-0.1460683498427064,0.0444061620977195,0.11072919224159096,0.14952123741713724,0.7397495703412718,0.11072919224159096
tafeng,0,sets2sets,diffrec,0.007689515988591137,0.0,-0.1460683498427064,0.1460683498427065,0.14289221703903757,0.14534740977166707,0.7117603731892954,0.14289221703903757
tafeng,0,dnntsp,cbp,-0.008232593452335795,0.0,-0.1460683498427064,0.06791791489182111,0.11220230788116867,0.1568868156150258,0.7309108765038056,0.11220230788116867
tafeng,0,dnntsp,diffrec,0.010575026666522538,0.0,-0.169580102636808,0.17319681505689127,0.1532040265160815,0.1502577952369261,0.6965381782469924,0.1502577952369261
tafeng,0,cbp,diffrec,0.01880762011885833,0.0,-0.1251739405390885,0.169580102636808,0.15467714215565923,0.13798183157377855,0.7073410262705623,0.13798183157377855
tafeng,1,recency,frequency,-0.0284711555135433,0.0,-0.169580102636808,0.0,0.06579916523447091,0.14191013994598575,0.7922906948195433,0.06579916523447091
tafeng,1,recency,racf,-0.03259410644556058,0.0,-0.19047451194042597,0.0,0.08617726491529586,0.17480972256322122,0.7390130125214829,0.08617726491529586
tafeng,1,recency,tifuknn,-0.01776869074390622,0.0,-0.10629294001628731,0.0,0.07512889761846304,0.11932236680579425,0.8055487355757427,0.07512889761846304
tafeng,1,recency,fpmc,-0.00303631659469966,0.0,-0.2139862647345275,0.2139862647345275,0.17726491529585073,0.13331696538178248,0.6894181193223669,0.13331696538178248
tafeng,1,recency,triple2vec,-0.01726136322551032,0.0,-0.169580102636808,0.06791791489182111,0.11784925116621654,0.14780260250429658,0.7343481463294869,0.11784925116621654
tafeng,1,recency,sets2sets,-0.02326548996007154,0.0,-0.2463023887407299,0.169580102636808,0.15394058433587038,0.16989933709796218,0.6761600785661674,0.15394058433587038
tafeng,1,recency,dnntsp,-0.023742711731560062,0.0,-0.2139862647345275,0.169580102636808,0.1482936410508225,0.1814387429413209,0.6702676160078567,0.1482936410508225
tafeng,1,recency,cbp,-0.03536499575271553,0.0,-0.2463023887407299,0.1251739405390885,0.12963417628283821,0.19420574515099434,0.6761600785661674,0.12963417628283821
tafeng,1,recency,diffrec,-0.020613867345331913,0.0,-0.169580102636808,0.06791791489182111,0.11416646206727228,0.1482936410508225,0.7375398968819052,0.11416646206727228
tafeng,1,frequency,racf,-0.004122950932017275,0.0,0.0,0.0,0.0638350110483673,0.0864227841885588,0.8497422047630739,0.0638350110483673
tafeng,1,frequency,tifuknn,0.010702464769637078,0.0,0.0,0.0444061620977195,0.11563957770684999,0.0864227841885588,0.7979376381045912,0.0864227841885588
tafeng,1,frequency,fpmc,0.025434838918843645,0.0,-0.1460683498427064,0.339160205273616,0.21973974957034126,0.11686717407316474,0.663393076356494,0.11686717407316474
tafeng,1,frequency,triple2vec,0.011209792288032977,0.0,0.0,0.0827811872221858,0.1311072919224159,0.08421311072919224,0.7846795973483919,0.08421311072919224
tafeng,1,frequency,sets2sets,0.005205665553471762,0.0,-0.169580102636808,0.2139862647345275,0.18929535968573533,0.14338325558556347,0.6673213847287012,0.14338325558556347
tafeng,1,frequency,dnntsp,0.0047284437819832435,0.0,-0.169580102636808,0.2139862647345275,0.1829118585808986,0.15418610360913332,0.662902037809968,0.15418610360913332
tafeng,1,frequency,cbp,-0.00689384023917223,0.0,-0.1312050775123417,0.1456702121244398,0.17751043456911367,0.12963417628283821,0.6928553891480481,0.12963417628283821
tafeng,1,frequency,diffrec,0.007857288168211386,0.0,-0.01486327233036469,0.1312050775123417,0.1416646206727228,0.10139945985759882,0.7569359194696784,0.10139945985759882
tafeng,1,racf,tifuknn,0.014825415701654354,0.0,0.0,0.06144254795448692,0.12226859808494966,0.08421311072919224,0.793518291185858,0.08421311072919224
tafeng,1,racf,fpmc,0.029557789850860917,0.0,-0.1312050775123417,0.339160205273616,0.2256322121286521,0.11122023078811687,0.663147557083231,0.11122023078811687
tafeng,1,racf,triple2vec,0.015332743220050252,0.0,0.0,0.1251739405390885,0.1416646206727228,0.07832064817088141,0.7800147311563957,0.07832064817088141
tafeng,1,racf,sets2sets,0.009328616485489038,0.0,-0.169580102636808,0.2139862647345275,0.19862509206972748,0.140682543579671,0.6606923643506015,0.140682543579671
tafeng,1,racf,dnntsp,0.008851394714000517,0.0,-0.169580102636808,0.2139862647345275,0.1883132825926835,0.14804812177755955,0.6636385956297569,0.14804812177755955
tafeng,1,racf,cbp,-0.0027708893071549537,0.0,-0.12999885011769083,0.1460683498427064,0.18021114657500614,0.12398723299779033,0.6958016204272035,0.12398723299779033
tafeng,1,racf,diffrec,0.011980239100228662,0.0,0.0,0.1312050775123417,0.14240117849251166,0.08494966854898109,0.7726491529585072,0.08494966854898109
tafeng,1,tifuknn,fpmc,0.014732374149206565,0.0,-0.19309185543090962,0.3361875508075458,0.20795482445371963,0.1286520991897864,0.663393076356494,0.1286520991897864
tafeng,1,tifuknn,triple2vec,0.0005073275183958981,0.0,-0.004824909578602279,0.0827811872221858,0.12717898355020868,0.10017186349128407,0.7726491529585072,0.10017186349128407
tafeng,1,tifuknn,sets2sets,-0.005496799216165316,0.0,-0.2139862647345275,0.2139862647345275,0.18880432113920942,0.16425239381291432,0.6469432850478762,0.16425239381291432
tafeng,1,tifuknn,dnntsp,-0.005974020987653836,0.0,-0.1951900249960508,0.2079551277612743,0.17554628038301007,0.16670758654554382,0.6577461330714461,0.16670758654554382
tafeng,1,tifuknn,cbp,-0.017596305008809307,0.0,-0.16958010263680812,0.14407766125137167,0.16842622145838448,0.14485637122514117,0.6867174073164743,0.14485637122514117
tafeng,1,tifuknn,diffrec,-0.002845176601425692,0.0,-0.12517394053908865,0.13120507751234178,0.14436533267861526,0.12423275227105328,0.7314019150503315,0.12423275227105328
tafeng,1,fpmc,triple2vec,-0.014225046630810664,0.0,-0.2463023887407299,0.14606834984270647,0.120549963172109,0.19936164988951632,0.6800883869383747,0.120549963172109
tafeng,1,fpmc,sets2sets,-0.02022917336537188,0.0,-0.1460683498427065,0.0,0.058679106309845325,0.1517309108765038,0.7895899828136509,0.058679106309845325
tafeng,1,fpmc,dnntsp,-0.0207063951368604,0.0,-0.169580102636808,0.0,0.08323103363614044,0.15197643014976675,0.7647925362140928,0.08323103363614044
tafeng,1,fpmc,cbp,-0.03232867915801586,0.0,-0.2139862647345275,0.0,0.06162533758900074,0.19715197643014976,0.7412226859808495,0.06162533758900074
tafeng,1,fpmc,diffrec,-0.017577550750632255,0.0,-0.2139862647345275,0.0,0.09771667075865456,0.1789835502086914,0.7232997790326541,0.09771667075865456
tafeng,1,triple2vec,sets2sets,-0.0060041267345612125,0.0,-0.2079551277612743,0.19309185543090962,0.1723545298305917,0.1627792781733366,0.6648661919960717,0.1627792781733366
tafeng,1,triple2vec,dnntsp,-0.006481348506049735,0.0,-0.19309185543090962,0.169580102636808,0.16400687453965138,0.1637613552663884,0.6722317701939602,0.1637613552663884
