dataset,keyset,feature,bin,method,n_users,feature_min,feature_median,feature_max,mean_ndcg,mean_centered_ndcg
dunnhumby,0,recent_basket_novelty,2,diffrec,1029,0.3333333333333333,0.4666666666666667,0.5,0.3230570627328738,0.025568842757795286
dunnhumby,0,recent_basket_novelty,3,recency,928,0.5185185185185185,0.6666666666666666,0.75,0.17507296920935142,-0.07052687815641533
dunnhumby,0,recent_basket_novelty,3,frequency,928,0.5185185185185185,0.6666666666666666,0.75,0.28570300289924927,0.04010315553348252
dunnhumby,0,recent_basket_novelty,3,tifuknn,928,0.5185185185185185,0.6666666666666666,0.75,0.2806614318624247,0.035061584496657985
dunnhumby,0,recent_basket_novelty,3,fpmc,928,0.5185185185185185,0.6666666666666666,0.75,0.14698146129545225,-0.09861838607031449
dunnhumby,0,recent_basket_novelty,3,triple2vec,928,0.5185185185185185,0.6666666666666666,0.75,0.2698138757673085,0.024214028401541746
dunnhumby,0,recent_basket_novelty,3,dnntsp,928,0.5185185185185185,0.6666666666666666,0.75,0.25009157526272036,0.004491727896953584
dunnhumby,0,recent_basket_novelty,3,cbp,928,0.5185185185185185,0.6666666666666666,0.75,0.2849588051570796,0.039358957791312855
dunnhumby,0,recent_basket_novelty,3,diffrec,928,0.5185185185185185,0.6666666666666666,0.75,0.2715156574725479,0.025915810106781154
dunnhumby,0,recent_basket_novelty,4,recency,418,0.7567567567567568,0.8333333333333334,0.979591836734694,0.13924193929570922,-0.03919398099494008
dunnhumby,0,recent_basket_novelty,4,frequency,418,0.7567567567567568,0.8333333333333334,0.979591836734694,0.1985113530949312,0.020075432804281926
dunnhumby,0,recent_basket_novelty,4,tifuknn,418,0.7567567567567568,0.8333333333333334,0.979591836734694,0.19904731583778223,0.02061139554713292
dunnhumby,0,recent_basket_novelty,4,fpmc,418,0.7567567567567568,0.8333333333333334,0.979591836734694,0.12625722858808344,-0.052178691702565845
dunnhumby,0,recent_basket_novelty,4,triple2vec,418,0.7567567567567568,0.8333333333333334,0.979591836734694,0.18220501276998996,0.003769092479340659
dunnhumby,0,recent_basket_novelty,4,dnntsp,418,0.7567567567567568,0.8333333333333334,0.979591836734694,0.1917731468666088,0.013337226575959508
dunnhumby,0,recent_basket_novelty,4,cbp,418,0.7567567567567568,0.8333333333333334,0.979591836734694,0.19793180533187113,0.019495885041221853
dunnhumby,0,recent_basket_novelty,4,diffrec,418,0.7567567567567568,0.8333333333333334,0.979591836734694,0.19251956054021838,0.014083640249569065
dunnhumby,0,recent_basket_novelty,5,recency,1317,1.0,1.0,1.0,0.08594039608079818,-0.055088893690955015
dunnhumby,0,recent_basket_novelty,5,frequency,1317,1.0,1.0,1.0,0.16482760345385555,0.023798313682102355
dunnhumby,0,recent_basket_novelty,5,tifuknn,1317,1.0,1.0,1.0,0.16293649785153388,0.021907208079780714
dunnhumby,0,recent_basket_novelty,5,fpmc,1317,1.0,1.0,1.0,0.08441869958008351,-0.05661059019166967
dunnhumby,0,recent_basket_novelty,5,triple2vec,1317,1.0,1.0,1.0,0.158620784244524,0.01759149447277081
dunnhumby,0,recent_basket_novelty,5,dnntsp,1317,1.0,1.0,1.0,0.1461916808296227,0.005162391057869491
dunnhumby,0,recent_basket_novelty,5,cbp,1317,1.0,1.0,1.0,0.16480811626217268,0.023778826490419475
dunnhumby,0,recent_basket_novelty,5,diffrec,1317,1.0,1.0,1.0,0.16049053987143502,0.01946125009968184
dunnhumby,0,popularity_profile,1,recency,906,0.0783215903371917,0.7049031848037888,0.7378585807750379,0.11103613729998592,-0.045303154080720054
dunnhumby,0,popularity_profile,1,frequency,906,0.0783215903371917,0.7049031848037888,0.7378585807750379,0.18763637339512845,0.031297082014422474
dunnhumby,0,popularity_profile,1,tifuknn,906,0.0783215903371917,0.7049031848037888,0.7378585807750379,0.1787629662465326,0.022423674865826606
dunnhumby,0,popularity_profile,1,fpmc,906,0.0783215903371917,0.7049031848037888,0.7378585807750379,0.0808457644978185,-0.07549352688288748
dunnhumby,0,popularity_profile,1,triple2vec,906,0.0783215903371917,0.7049031848037888,0.7378585807750379,0.18305651129678252,0.026717219916076562
dunnhumby,0,popularity_profile,1,dnntsp,906,0.0783215903371917,0.7049031848037888,0.7378585807750379,0.1583169630579147,0.0019776716772087265
