dataset,keyset,method_a,method_b,feature,n,rho,p_value
dunnhumby,0,racf,tifuknn,adjacent_basket_jaccard,4504,-0.029337349075434137,0.048980552265175996
dunnhumby,0,racf,tifuknn,recency_frequency_disagreement,4504,0.0010738732023039112,0.9425624109040955
dunnhumby,0,racf,tifuknn,recent_basket_novelty,4504,0.02969704380096876,0.04627132755914301
dunnhumby,0,racf,tifuknn,popularity_profile,4504,-0.03853759648891542,0.009693586182627141
dunnhumby,0,racf,tifuknn,neighbor_similarity,4504,-0.020686214143376767,0.1651208430516199
dunnhumby,0,racf,tifuknn,cooccurrence_support,4467,-0.04371666793812529,0.0034733404637488858
dunnhumby,0,racf,tifuknn,transition_predictability,4503,-0.051217709933810605,0.0005855173208725072
dunnhumby,0,racf,fpmc,n_baskets,4504,0.03986529056885929,0.007456128712604521
dunnhumby,0,racf,fpmc,avg_basket_size,4504,0.18749090651559389,6.542752103873023e-37
dunnhumby,0,racf,fpmc,repeat_rate,4504,0.2464109109798762,2.789452254642079e-63
dunnhumby,0,racf,fpmc,adjacent_basket_jaccard,4504,0.2574128892786371,4.369359757862422e-69
dunnhumby,0,racf,fpmc,recency_frequency_disagreement,4504,0.05647833953478528,0.00014923399271412065
dunnhumby,0,racf,fpmc,recent_basket_novelty,4504,-0.14498544035135483,1.3822912122853644e-22
dunnhumby,0,racf,fpmc,popularity_profile,4504,0.04131779604177494,0.00554861333474817
dunnhumby,0,racf,fpmc,neighbor_similarity,4504,0.009672842217815407,0.5163401200509679
dunnhumby,0,racf,fpmc,cooccurrence_support,4467,0.007421181637436491,0.6199880493617742
dunnhumby,0,racf,fpmc,transition_predictability,4503,-0.006663440470261234,0.6548555856693449
dunnhumby,0,racf,triple2vec,n_baskets,4504,-0.0526861227492698,0.00040418149471056904
dunnhumby,0,racf,triple2vec,avg_basket_size,4504,0.06046633408547603,4.894748175599416e-05
dunnhumby,0,racf,triple2vec,repeat_rate,4504,-0.012915276121751581,0.3861811716628015
dunnhumby,0,racf,triple2vec,adjacent_basket_jaccard,4504,0.032118863850608255,0.031121629529454728
dunnhumby,0,racf,triple2vec,recency_frequency_disagreement,4504,0.019091558460008335,0.200182828226853
dunnhumby,0,racf,triple2vec,recent_basket_novelty,4504,0.0021267922588353474,0.8865322504133959
dunnhumby,0,racf,triple2vec,popularity_profile,4504,-0.0057809542414675565,0.6981151490596105
dunnhumby,0,racf,triple2vec,neighbor_similarity,4504,-0.01958869469337689,0.18871341744090958
dunnhumby,0,racf,triple2vec,cooccurrence_support,4467,0.007859834377364493,0.5994594634880985
dunnhumby,0,racf,triple2vec,transition_predictability,4503,-0.018077967750341435,0.22517821742818672
dunnhumby,0,racf,sets2sets,n_baskets,4504,0.09214309669561101,5.815192000425705e-10
dunnhumby,0,racf,sets2sets,avg_basket_size,4504,0.15256351078201386,7.32212582667698e-25
dunnhumby,0,racf,sets2sets,repeat_rate,4504,0.25315658105548616,8.321116092638041e-67
dunnhumby,0,racf,sets2sets,adjacent_basket_jaccard,4504,0.23899806770011656,1.572432981676141e-59
dunnhumby,0,racf,sets2sets,recency_frequency_disagreement,4504,0.05036202700465776,0.000721973065191917
dunnhumby,0,racf,sets2sets,recent_basket_novelty,4504,-0.15929595695914167,5.527096030973502e-27
dunnhumby,0,racf,sets2sets,popularity_profile,4504,0.025902021600477523,0.08218586550760869
dunnhumby,0,racf,sets2sets,neighbor_similarity,4504,0.029508222460746615,0.04767737446952259
dunnhumby,0,racf,sets2sets,cooccurrence_support,4467,0.014266201812802153,0.3404522286288296
dunnhumby,0,racf,sets2sets,transition_predictability,4503,0.007003338627307469,0.6384764083416665
dunnhumby,0,racf,dnntsp,n_baskets,4504,-0.006170653442105206,0.6788646275419625
dunnhumby,0,racf,dnntsp,avg_basket_size,4504,-0.009682197927000487,0.5159344475742872
dunnhumby,0,racf,dnntsp,repeat_rate,4504,0.06601533869435088,9.249259501535793e-06
dunnhumby,0,racf,dnntsp,adjacent_basket_jaccard,4504,0.10742763580427238,4.880247882233989e-13
dunnhumby,0,racf,dnntsp,recency_frequency_disagreement,4504,-0.02518266473406039,0.09105588886382911
dunnhumby,0,racf,dnntsp,recent_basket_novelty,4504,-0.04368767991558168,0.003361938652334328
dunnhumby,0,racf,dnntsp,popularity_profile,4504,-0.004780094789992795,0.7484273048083097
dunnhumby,0,racf,dnntsp,neighbor_similarity,4504,0.0016762868927138353,0.9104526879011678
dunnhumby,0,racf,dnntsp,cooccurrence_support,4467,-0.02617028578365033,0.0803053230538551
dunnhumby,0,racf,dnntsp,transition_predictability,4503,-0.0017688832445488178,0.9055391973035333
dunnhumby,0,racf,cbp,n_baskets,4504,-0.025380469407364853,0.08854342042556518
dunnhumby,0,racf,cbp,avg_basket_size,4504,0.010326155570869723,0.48841405472145516
dunnhumby,0,racf,cbp,repeat_rate,4504,-0.024582209140254604,0.09903525678287561
dunnhumby,0,racf,cbp,adjacent_basket_jaccard,4504,-0.0034498255604922573,0.8169569985527614
dunnhumby,0,racf,cbp,recency_frequency_disagreement,4504,0.000549292065407253,0.9706015964252661
dunnhumby,0,racf,cbp,recent_basket_novelty,4504,0.02209986917348899,0.13809235676876955
dunnhumby,0,racf,cbp,popularity_profile,4504,-0.011650624954886604,0.43438828055656986
dunnhumby,0,racf,cbp,neighbor_similarity,4504,-0.044138103908435346,0.0030484335358557844
dunnhumby,0,racf,cbp,cooccurrence_support,4467,-0.022877872944559716,0.12630685231594316
dunnhumby,0,racf,cbp,transition_predictability,4503,-0.01315246848092893,0.3775704887910636
dunnhumby,0,racf,diffrec,n_baskets,4504,-0.011193222285812177,0.4526449296010927
dunnhumby,0,racf,diffrec,avg_basket_size,4504,0.041460350022067355,0.005387459681238566
dunnhumby,0,racf,diffrec,repeat_rate,4504,0.03306241860938083,0.026495524417268698
dunnhumby,0,racf,diffrec,adjacent_basket_jaccard,4504,0.04467239544237934,0.002711236526985178
dunnhumby,0,racf,diffrec,recency_frequency_disagreement,4504,0.011811241142071651,0.4280797832157349
dunnhumby,0,racf,diffrec,recent_basket_novelty,4504,-0.02300227792030706,0.12270924750204752
dunnhumby,0,racf,diffrec,popularity_profile,4504,-0.046570395442533094,0.0017704862195378117
dunnhumby,0,racf,diffrec,neighbor_similarity,4504,-0.0359037414495543,0.015966760370753216
dunnhumby,0,racf,diffrec,cooccurrence_support,4467,-0.03441097129989063,0.021452979029080263
dunnhumby,0,racf,diffrec,transition_predictability,4503,-0.02441367636025774,0.10141036434016713
dunnhumby,0,tifuknn,fpmc,n_baskets,4504,0.03137896590552727,0.0352187430363151
dunnhumby,0,tifuknn,fpmc,avg_basket_size,4504,0.22723391664518988,7.737780627653389e-54
dunnhumby,0,tifuknn,fpmc,repeat_rate,4504,0.276137862408892,1.2409503204752798e-79
dunnhumby,0,tifuknn,fpmc,adjacent_basket_jaccard,4504,0.30059197414258915,1.0385443794751393e-94
dunnhumby,0,tifuknn,fpmc,recency_frequency_disagreement,4504,0.059699990617983374,6.0965968118463654e-05
dunnhumby,0,tifuknn,fpmc,recent_basket_novelty,4504,-0.16924038138212613,2.7167028611852012e-30
