dataset,keyset,method,analysis_type,mechanism,category,n_items,hit_rate_at5,mean_ndcg_contribution,rho_hit,rho_ndcg,low_to_high_hit,low_to_high_ndcg
sam,1,fpmc,continuous,global_popularity,,15323,0.054297461332637215,0.023660897570450846,0.11910687311081662,0.12093360216421924,0.08464054554344275,0.032241949959528414
sam,1,fpmc,continuous,neighbor_support,,15323,0.054297461332637215,0.023660897570450846,0.3676331125867944,0.32438328345976103,0.23769051186796716,0.1073982170452876
sam,1,fpmc,continuous,transition_support,,15323,0.054297461332637215,0.023660897570450846,0.09314358854794422,0.08532972866241907,0.06739438588445237,0.006244718862123241
sam,1,fpmc,continuous,relational_support,,15323,0.054297461332637215,0.023660897570450846,0.032658954222986356,0.04461939173955019,0.03864020273115684,-0.010287332366961308
sam,1,triple2vec,target_class,target_class,last_basket_repeat,2549,0.750490388387603,0.33338337672144663,,,,
sam,1,triple2vec,target_class,target_class,novel,8919,0.0,0.0,,,,
sam,1,triple2vec,target_class,target_class,older_repeat,3855,0.35019455252918286,0.08826664583626133,,,,
sam,1,triple2vec,continuous,personal_frequency,,15323,0.21294785616393658,0.07766508823087874,0.7487957989492455,0.7156436842794824,0.8465195246179966,0.36147445938258305
sam,1,triple2vec,continuous,personal_recency_score,,15323,0.21294785616393658,0.07766508823087874,0.6940831833603833,0.6532669920946333,0.750490388387603,0.33338337672144663
sam,1,triple2vec,continuous,global_popularity,,15323,0.21294785616393658,0.07766508823087874,0.13114345603907582,0.1348950382135284,0.15453733734363498,0.03516653876745834
sam,1,triple2vec,continuous,neighbor_support,,15323,0.21294785616393658,0.07766508823087874,0.6204269052262793,0.5946620775547752,0.703012386236969,0.28572272662803605
sam,1,triple2vec,continuous,transition_support,,15323,0.21294785616393658,0.07766508823087874,0.28014203294652573,0.24522160015246872,0.32336902733656125,0.053486529381675654
sam,1,triple2vec,continuous,relational_support,,15323,0.21294785616393658,0.07766508823087874,0.23002636591392547,0.21997419975542437,0.27669326131822414,0.02776160206375597
sam,1,dnntsp,target_class,target_class,last_basket_repeat,2549,0.5256963515103963,0.20812156557158804,,,,
sam,1,dnntsp,target_class,target_class,novel,8919,0.0,0.0,,,,
sam,1,dnntsp,target_class,target_class,older_repeat,3855,0.3009079118028534,0.06960940147915819,,,,
sam,1,dnntsp,continuous,personal_frequency,,15323,0.16315342948508776,0.052133793209171365,0.6273697710416225,0.5606406702714382,0.6190152801358234,0.22695015047365263
sam,1,dnntsp,continuous,personal_recency_score,,15323,0.16315342948508776,0.052133793209171365,0.5678249908304188,0.5011665260337939,0.5256963515103963,0.2081215655715881
sam,1,dnntsp,continuous,global_popularity,,15323,0.16315342948508776,0.052133793209171365,0.08340543907629741,0.07813636822817935,0.08513887240309077,0.008842274860814611
sam,1,dnntsp,continuous,neighbor_support,,15323,0.16315342948508776,0.052133793209171365,0.4967284616758589,0.43538859432077526,0.49666945222659936,0.16868336297726055
sam,1,dnntsp,continuous,transition_support,,15323,0.16315342948508776,0.052133793209171365,0.18783820741064372,0.17058892358299124,0.19979718769528543,0.030481607288443784
sam,1,dnntsp,continuous,relational_support,,15323,0.16315342948508776,0.052133793209171365,0.1588982306891981,0.1730694628101925,0.172878711005011,0.014267532509882726
