dataset,keyset,outcome,method,feature,n_users,r2,coef
dunnhumby,1,centered,cbp,n_baskets,4504,0.049740664849946103,-0.0008893464723897974
dunnhumby,1,centered,cbp,avg_basket_size,4504,0.049740664849946103,0.006676556857747175
dunnhumby,1,centered,cbp,repeat_rate,4504,0.049740664849946103,0.01955095894679724
dunnhumby,1,centered,cbp,adjacent_basket_jaccard,4504,0.049740664849946103,0.00611112572988594
dunnhumby,1,centered,cbp,recent_basket_novelty,4504,0.049740664849946103,0.004690264103521285
dunnhumby,1,centered,cbp,popularity_profile,4504,0.049740664849946103,-0.005070093461879852
dunnhumby,1,centered,cbp,neighbor_similarity,4504,0.049740664849946103,-0.00018113721651180327
dunnhumby,1,centered,cbp,transition_strength,4504,0.049740664849946103,0.000765753420455
dunnhumby,1,centered,cbp,relational_strength,4504,0.049740664849946103,-0.004650926880813675
dunnhumby,1,centered,diffrec,n_baskets,4504,0.028190773502120847,0.007351299524533204
dunnhumby,1,centered,diffrec,avg_basket_size,4504,0.028190773502120847,0.0069369376173354785
dunnhumby,1,centered,diffrec,repeat_rate,4504,0.028190773502120847,0.009173135313573817
dunnhumby,1,centered,diffrec,adjacent_basket_jaccard,4504,0.028190773502120847,2.380839555919949e-05
dunnhumby,1,centered,diffrec,recent_basket_novelty,4504,0.028190773502120847,0.010014126581679843
dunnhumby,1,centered,diffrec,popularity_profile,4504,0.028190773502120847,0.010567264938485355
dunnhumby,1,centered,diffrec,neighbor_similarity,4504,0.028190773502120847,0.006417342867310853
dunnhumby,1,centered,diffrec,transition_strength,4504,0.028190773502120847,0.006355586202610927
dunnhumby,1,centered,diffrec,relational_strength,4504,0.028190773502120847,-0.005832777335398197
dunnhumby,2,difficulty,all_method_mean,n_baskets,4504,0.25581379289160167,-0.05343254878734661
dunnhumby,2,difficulty,all_method_mean,avg_basket_size,4504,0.25581379289160167,0.043178042673606025
dunnhumby,2,difficulty,all_method_mean,repeat_rate,4504,0.25581379289160167,0.10511337893065105
dunnhumby,2,difficulty,all_method_mean,adjacent_basket_jaccard,4504,0.25581379289160167,0.02841867825561794
dunnhumby,2,difficulty,all_method_mean,recent_basket_novelty,4504,0.25581379289160167,0.012210122901735308
dunnhumby,2,difficulty,all_method_mean,popularity_profile,4504,0.25581379289160167,0.01821812919073104
dunnhumby,2,difficulty,all_method_mean,neighbor_similarity,4504,0.25581379289160167,-0.006040206025184614
dunnhumby,2,difficulty,all_method_mean,transition_strength,4504,0.25581379289160167,0.006654342452682448
dunnhumby,2,difficulty,all_method_mean,relational_strength,4504,0.25581379289160167,-0.0039625658797470525
dunnhumby,2,centered,recency,n_baskets,4504,0.06541687014153075,0.009378788054028787
dunnhumby,2,centered,recency,avg_basket_size,4504,0.06541687014153075,-0.0045561494041618375
dunnhumby,2,centered,recency,repeat_rate,4504,0.06541687014153075,-0.0645515937776153
dunnhumby,2,centered,recency,adjacent_basket_jaccard,4504,0.06541687014153075,0.015206487374852353
dunnhumby,2,centered,recency,recent_basket_novelty,4504,0.06541687014153075,-0.03859301055742836
dunnhumby,2,centered,recency,popularity_profile,4504,0.06541687014153075,-0.00571151611945812
dunnhumby,2,centered,recency,neighbor_similarity,4504,0.06541687014153075,0.002679594921132033
dunnhumby,2,centered,recency,transition_strength,4504,0.06541687014153075,-0.00029845342655214756
dunnhumby,2,centered,recency,relational_strength,4504,0.06541687014153075,-0.0008454680127338666
dunnhumby,2,centered,frequency,n_baskets,4504,0.06256468122980774,-0.0030241607373451894
dunnhumby,2,centered,frequency,avg_basket_size,4504,0.06256468122980774,0.005323217998626478
