dataset,outcome,method,feature,n_users,coef_mean,coef_sd,r2_mean,n_keysets,coef_sign,abs_coef_mean
instacart,centered,frequency,neighbor_similarity,4124.0,-0.003397873295589779,0.0021573309778670914,0.058713695021125,3,negative,0.003397873295589779
instacart,centered,frequency,recent_basket_novelty,4124.0,0.0031124655641213087,0.0021788371579371654,0.058713695021125,3,positive,0.0031124655641213087
instacart,centered,tifuknn,recent_basket_novelty,4124.0,0.003058884586245978,0.002459725900167441,0.05995871654667236,3,positive,0.003058884586245978
instacart,centered,triple2vec,transition_strength,4124.0,0.0028225309780547463,0.006545818957809337,0.15553567401014445,3,mixed,0.0028225309780547463
instacart,centered,cbp,neighbor_similarity,4124.0,-0.0025947080917446126,0.002925479289629707,0.05845673860906919,3,mixed,0.0025947080917446126
instacart,centered,fpmc,neighbor_similarity,4124.0,0.0025422822957080985,0.0038308558164995253,0.1689507692102852,3,mixed,0.0025422822957080985
instacart,centered,recency,transition_strength,4124.0,-0.0025137347596859067,0.00967240146533411,0.07334548593427748,3,mixed,0.0025137347596859067
instacart,centered,tifuknn,transition_strength,4124.0,-0.0023751692751891366,0.0005094232653657081,0.05995871654667236,3,negative,0.0023751692751891366
instacart,centered,triple2vec,popularity_profile,4124.0,-0.0023355237702921464,0.0014605429290218805,0.15553567401014445,3,negative,0.0023355237702921464
instacart,centered,cbp,recent_basket_novelty,4124.0,0.0023203759083674446,0.0006225905845222671,0.05845673860906919,3,positive,0.0023203759083674446
instacart,centered,diffrec,repeat_rate,4124.0,-0.0022344922530491496,0.008572385713413148,0.07020584964962051,3,mixed,0.0022344922530491496
instacart,centered,recency,relational_strength,4124.0,-0.001603873865722901,0.007817286572111337,0.07334548593427748,3,mixed,0.001603873865722901
instacart,centered,triple2vec,relational_strength,4124.0,0.0015883712124112788,0.0061636655659825105,0.15553567401014445,3,mixed,0.0015883712124112788
instacart,centered,frequency,transition_strength,4124.0,-0.0015776738009197087,0.004228477484076261,0.058713695021125,3,mixed,0.0015776738009197087
instacart,centered,diffrec,transition_strength,4124.0,0.001427807542477087,0.0010572221021928052,0.07020584964962051,3,positive,0.001427807542477087
instacart,centered,dnntsp,neighbor_similarity,4124.0,0.0011573170347808914,0.007140040277901528,0.032699301620827605,3,mixed,0.0011573170347808914
instacart,centered,tifuknn,relational_strength,4124.0,-0.0009072925890524545,0.0017685252247493725,0.05995871654667236,3,mixed,0.0009072925890524545
instacart,centered,frequency,relational_strength,4124.0,-0.0005723048616888623,0.004548752577839868,0.058713695021125,3,mixed,0.0005723048616888623
instacart,centered,cbp,relational_strength,4124.0,8.764263028799776e-05,0.005292350626201552,0.05845673860906919,3,mixed,8.764263028799776e-05
instacart,difficulty,all_method_mean,repeat_rate,4124.0,0.07776350202251546,0.003203303617672229,0.28476544767395706,3,positive,0.07776350202251546
instacart,difficulty,all_method_mean,adjacent_basket_jaccard,4124.0,0.06341813087872147,0.000821075733250521,0.28476544767395706,3,positive,0.06341813087872147
instacart,difficulty,all_method_mean,avg_basket_size,4124.0,0.040196050151340486,0.005871354904202152,0.28476544767395706,3,positive,0.040196050151340486
instacart,difficulty,all_method_mean,n_baskets,4124.0,-0.03594025852390206,0.007964083294848703,0.28476544767395706,3,negative,0.03594025852390206
instacart,difficulty,all_method_mean,popularity_profile,4124.0,0.019519961023237036,0.0035547462768783238,0.28476544767395706,3,positive,0.019519961023237036
