dataset,keyset,method_a,method_b,n_users,n_decisive,a_win_rate,b_win_rate,tie_rate,decisive_rate,conditional_a_win_rate,conditional_b_win_rate,mean_delta
retailrocket,2,fpmc,dnntsp,170,71,0.38823529411764707,0.029411764705882353,0.5823529411764706,0.4176470588235294,0.9295774647887324,0.07042253521126761,0.34663152577168
retailrocket,2,fpmc,cbp,170,20,0.011764705882352941,0.10588235294117647,0.8823529411764706,0.11764705882352941,0.1,0.9,-0.08071717118439
retailrocket,2,fpmc,diffrec,170,17,0.011764705882352941,0.08823529411764706,0.9,0.1,0.11764705882352941,0.8823529411764706,-0.0714351187075151
retailrocket,2,triple2vec,sets2sets,170,5,0.023529411764705882,0.0058823529411764705,0.9705882352941176,0.029411764705882353,0.8,0.2,0.010690872755042444
retailrocket,2,triple2vec,dnntsp,170,84,0.4764705882352941,0.01764705882352941,0.5058823529411764,0.49411764705882355,0.9642857142857143,0.03571428571428571,0.42020954406090727
retailrocket,2,triple2vec,cbp,170,7,0.023529411764705882,0.01764705882352941,0.9588235294117647,0.041176470588235294,0.5714285714285714,0.42857142857142855,-0.00713915289516265
retailrocket,2,triple2vec,diffrec,170,10,0.041176470588235294,0.01764705882352941,0.9411764705882353,0.058823529411764705,0.7,0.3,0.002142899581712255
retailrocket,2,sets2sets,dnntsp,170,82,0.4588235294117647,0.023529411764705882,0.5176470588235295,0.4823529411764706,0.9512195121951219,0.04878048780487805,0.4095186713058649
retailrocket,2,sets2sets,cbp,170,7,0.011764705882352941,0.029411764705882353,0.9588235294117647,0.041176470588235294,0.2857142857142857,0.7142857142857143,-0.017830025650205094
retailrocket,2,sets2sets,diffrec,170,8,0.023529411764705882,0.023529411764705882,0.9529411764705882,0.047058823529411764,0.5,0.5,-0.00854797317333019
retailrocket,2,dnntsp,cbp,170,83,0.01764705882352941,0.47058823529411764,0.5117647058823529,0.48823529411764705,0.03614457831325301,0.963855421686747,-0.4273486969560699
retailrocket,2,dnntsp,diffrec,170,81,0.01764705882352941,0.4588235294117647,0.5235294117647059,0.4764705882352941,0.037037037037037035,0.9629629629629629,-0.41806664447919506
retailrocket,2,cbp,diffrec,170,6,0.029411764705882353,0.0058823529411764705,0.9647058823529412,0.03529411764705882,0.8333333333333334,0.16666666666666666,0.009282052476874903
sam,0,recency,frequency,3678,1516,0.10848287112561175,0.3036976617727026,0.5878194671016856,0.4121805328983143,0.2631926121372032,0.7368073878627969,-0.07408792350647485
sam,0,recency,racf,3678,1566,0.11228928765633496,0.3134855899945623,0.5742251223491027,0.4257748776508972,0.26372924648786716,0.7362707535121328,-0.07733721285292737
sam,0,recency,tifuknn,3678,1331,0.10331702011963023,0.25856443719412725,0.6381185426862426,0.3618814573137575,0.28549962434259957,0.7145003756574004,-0.062290489805259225
sam,0,recency,fpmc,3678,1561,0.39097335508428493,0.033442088091353996,0.575584556824361,0.42441544317563895,0.9212043561819346,0.07879564381806534,0.17744883045699972
sam,0,recency,triple2vec,3678,1606,0.14410005437737902,0.29255029907558455,0.5633496465470365,0.43665035345296355,0.3300124533001245,0.6699875466998755,-0.06041993092371474
sam,0,recency,sets2sets,3678,1602,0.16204458945078848,0.27351821642196844,0.564437194127243,0.4355628058727569,0.37203495630461925,0.6279650436953808,-0.04780911664469964
sam,0,recency,dnntsp,3678,1747,0.27732463295269166,0.19766177270255575,0.5250135943447526,0.4749864056552474,0.5838580423583286,0.41614195764167144,0.05985578025814534
sam,0,recency,cbp,3678,1591,0.1375747688961392,0.2949972811310495,0.5674279499728113,0.4325720500271887,0.3180389692017599,0.6819610307982401,-0.06422105598075571
sam,0,recency,diffrec,3678,1727,0.3012506797172376,0.16829798803697663,0.5304513322457858,0.4695486677542142,0.6415749855240301,0.3584250144759699,0.10053461462500769
sam,0,frequency,racf,3678,554,0.07177814029363784,0.07884719956498097,0.8493746601413812,0.1506253398586188,0.47653429602888087,0.5234657039711191,-0.0032492893464525145
