dataset,method_a,method_b,feature,rho_keyset0,rho_keyset1,rho_keyset2,mean_rho,mean_abs_rho,min_rho,max_rho,rho_range,sign_pattern,consistent_signs,abs_mean_rho
retailrocket,triple2vec,sets2sets,recency_frequency_disagreement,0.014598294129296687,-0.01965581899504385,-0.0358635448884396,-0.013640356584728919,0.02337255267092671,-0.0358635448884396,0.014598294129296687,0.050461839017736286,mixed,False,0.013640356584728919
retailrocket,triple2vec,sets2sets,recent_basket_novelty,-0.06267094151349081,-0.16620711296598714,0.14670381377271932,-0.027391413568919543,0.12519395608406578,-0.16620711296598714,0.14670381377271932,0.31291092673870646,mixed,False,0.027391413568919543
retailrocket,triple2vec,sets2sets,repeat_rate,0.028784500211005183,0.19276297560710098,-0.1408152661825339,0.026910736545190755,0.12078758066688002,-0.1408152661825339,0.19276297560710098,0.3335782417896349,mixed,False,0.026910736545190755
retailrocket,triple2vec,sets2sets,transition_predictability,0.0,,-0.16355112715421938,-0.08177556357710969,0.08177556357710969,-0.16355112715421938,0.0,0.16355112715421938,missing,False,0.08177556357710969
sam,frequency,dnntsp,adjacent_basket_jaccard,0.1819218395969499,0.14527590677590918,0.156256870919479,0.16115153909744603,0.16115153909744603,0.14527590677590918,0.1819218395969499,0.03664593282104073,+++,True,0.16115153909744603
sam,frequency,dnntsp,avg_basket_size,-0.03512686356268855,0.01378024035160627,0.00859057067124798,-0.0042520175132781,0.019165891528514268,-0.03512686356268855,0.01378024035160627,0.04890710391429482,mixed,False,0.0042520175132781
sam,frequency,dnntsp,cooccurrence_support,0.08384250653487176,0.10588915716252309,0.0700126899266526,0.08658145120801582,0.08658145120801582,0.0700126899266526,0.10588915716252309,0.035876467235870485,+++,True,0.08658145120801582
sam,frequency,dnntsp,n_baskets,0.12463048003202508,0.14877522192760992,0.1416364947194616,0.1383473988930322,0.1383473988930322,0.12463048003202508,0.14877522192760992,0.02414474189558484,+++,True,0.1383473988930322
sam,frequency,dnntsp,neighbor_similarity,0.06472696998356468,0.10446754742735029,0.07029715140581724,0.07983055627224407,0.07983055627224407,0.06472696998356468,0.10446754742735029,0.039740577443785605,+++,True,0.07983055627224407
sam,frequency,dnntsp,popularity_profile,0.05417524497885357,0.08118334124376286,0.07531152469047692,0.07022337030436444,0.07022337030436444,0.05417524497885357,0.08118334124376286,0.02700809626490929,+++,True,0.07022337030436444
sam,frequency,dnntsp,recency_frequency_disagreement,0.024439271772247823,0.04574942261900858,0.052979417906388625,0.04105603743254834,0.04105603743254834,0.024439271772247823,0.052979417906388625,0.0285401461341408,+++,True,0.04105603743254834
sam,frequency,dnntsp,recent_basket_novelty,-0.17589978753258836,-0.13198824031617765,-0.1676662888963058,-0.1585181055816906,0.1585181055816906,-0.17589978753258836,-0.13198824031617765,0.04391154721641072,---,True,0.1585181055816906
sam,frequency,dnntsp,repeat_rate,0.19646349033800917,0.1753620133424123,0.1883135596463473,0.18671302110892293,0.18671302110892293,0.1753620133424123,0.19646349033800917,0.021101476995596863,+++,True,0.18671302110892293
sam,frequency,dnntsp,transition_predictability,0.11594581775919784,0.07027675764491743,0.05598769461799977,0.08073675667403835,0.08073675667403835,0.05598769461799977,0.11594581775919784,0.05995812314119807,+++,True,0.08073675667403835
sam,frequency,racf,adjacent_basket_jaccard,0.051403342343812594,0.056813323143949296,0.05621633041262683,0.054810998633462914,0.054810998633462914,0.051403342343812594,0.056813323143949296,0.005409980800136702,+++,True,0.054810998633462914
sam,frequency,racf,avg_basket_size,-0.05228556936428274,-0.06039462394727921,-0.06466999744108153,-0.059116730250881155,0.059116730250881155,-0.06466999744108153,-0.05228556936428274,0.012384428076798785,---,True,0.059116730250881155
