dataset,keyset,claim_type,method,feature,expected_sign,n_users_complete,n_users_nonzero,all_zero_fraction,coef_full,bootstrap_median,ci_low,ci_high,ci_excludes_zero,matches_expected_sign,coef_nonzero_users,nonzero_same_sign,rho_raw,rho_centered
tafeng,0,expected,dnntsp,transition_strength,1,2801,1296,0.5373081042484826,-0.0013234057253091683,-0.0012967162337028772,-0.009408111759373441,0.0066364545541033005,False,False,0.0009798475665675546,False,-0.07614037592182907,-0.04900679760459211
tafeng,0,expected,triple2vec,relational_strength,1,2801,1296,0.5373081042484826,-0.004014929703615898,-0.0038828564146304494,-0.009169822410389605,0.001467217571025733,False,False,-0.011714406238261345,True,-0.017896046488292502,-0.029140638064045113
tafeng,0,discovery,fpmc,n_baskets,1,2801,1296,0.5373081042484826,0.01596962655892713,0.0160962901129726,0.01014457507683858,0.022555100411231127,True,True,0.03166610049320371,True,0.08007470679807831,0.04132237664915881
tafeng,0,observed_contrast,fpmc,repeat_rate,-1,2801,1296,0.5373081042484826,-0.029163558382219845,-0.029279382214680974,-0.0416327680543417,-0.01815064043615596,True,True,-0.050632162935143804,True,0.012471712846151358,-0.16537384142310185
tafeng,0,observed_contrast,recency,repeat_rate,-1,2801,1296,0.5373081042484826,-0.017825340041521316,-0.018290964651820334,-0.027909524295083015,-0.007480795021270903,True,True,-0.020502428026807334,True,0.13767000542876953,-0.0714828850069348
tafeng,1,expected,frequency,repeat_rate,1,2802,1311,0.5321199143468951,0.014805664191047282,0.01529270719547894,0.006139430526499018,0.023788091944179864,True,True,0.024812562613897752,True,0.20992756290446113,0.0891324069240393
tafeng,1,expected,tifuknn,repeat_rate,1,2802,1311,0.5321199143468951,0.024173806726151884,0.02453556540815696,0.015628448826890212,0.03281924982146937,True,True,0.050471377818614147,True,0.2621343273206944,0.13127085745655345
tafeng,1,expected,cbp,repeat_rate,1,2802,1311,0.5321199143468951,0.005905405044661453,0.005688910702216129,-0.002117777478222828,0.013197209662422023,False,True,-0.0004092181142979199,False,0.20406970930200763,0.03739117147926537
tafeng,1,expected,recency,adjacent_basket_jaccard,1,2802,1311,0.5321199143468951,0.01666678555542876,0.016609982447361064,0.008524110250296505,0.025789215484974044,True,True,0.02799104501568281,True,0.19418288247142454,-0.051171936788475786
tafeng,1,expected,fpmc,transition_strength,1,2802,1311,0.5321199143468951,-0.0042568999773665225,-0.004410753757343379,-0.014104572130581552,0.005589780789843111,False,False,-0.0063616344966532495,True,-0.04681393837670629,-0.03585328148320333
tafeng,1,expected,dnntsp,transition_strength,1,2802,1311,0.5321199143468951,0.0015022895419813933,0.001312450791985141,-0.006571378439623272,0.009493093751451465,False,True,0.006030138726566126,True,-0.038618348484882076,-0.02475569157883187
tafeng,1,expected,triple2vec,relational_strength,1,2802,1311,0.5321199143468951,-0.0043119454039950034,-0.004510982607860894,-0.010340221263529577,0.001529399490107489,False,False,-0.007714018023030178,True,0.012599348533424797,-0.039214033257234014
tafeng,1,discovery,fpmc,n_baskets,1,2802,1311,0.5321199143468951,0.018462684156547563,0.0184899348372288,0.01248852430578708,0.024591464567896276,True,True,0.041233616654396156,True,0.0680975880540661,0.014775375101688894
tafeng,1,observed_contrast,fpmc,repeat_rate,-1,2802,1311,0.5321199143468951,-0.034346951636765044,-0.034574348763330806,-0.045462198092848564,-0.024052077391917843,True,True,-0.06299229961923081,True,0.04785009715818125,-0.1750504002007422
tafeng,1,observed_contrast,recency,repeat_rate,-1,2802,1311,0.5321199143468951,-0.01867542420588907,-0.01859115820158693,-0.029092479853977123,-0.00865504383218011,True,True,-0.020662764265966006,True,0.16143293024807068,-0.08257172681820932
tafeng,2,expected,frequency,repeat_rate,1,2813,1358,0.5172413793103448,0.01131216008413804,0.010954546521435488,0.0019777828775991483,0.020608793085839013,True,True,0.01780512369315011,True,0.18154694217699738,0.054459495008839745
tafeng,2,expected,tifuknn,repeat_rate,1,2813,1358,0.5172413793103448,0.012017590217846253,0.012148712575546141,0.003351496998857695,0.02142204714079919,True,True,0.02396102585455006,True,0.21123410243376747,0.07029266563180131
tafeng,2,expected,cbp,repeat_rate,1,2813,1358,0.5172413793103448,0.0016554503521605632,0.0011850923462853945,-0.008173070940967656,0.00969837558496448,False,True,-0.00475312104447126,False,0.19501666820351823,0.03954045510968111
tafeng,2,expected,recency,adjacent_basket_jaccard,1,2813,1358,0.5172413793103448,0.015616090506683144,0.015181678726916555,0.004405461793229512,0.02402156661836422,True,True,0.022592112736506305,True,0.1455539497478094,-0.07670806974523714
tafeng,2,expected,fpmc,transition_strength,1,2813,1358,0.5172413793103448,-0.007454892264789576,-0.006931367034961406,-0.01680698923286135,0.0031184367985497875,False,False,-0.020973797237429165,True,-0.08630292634589032,-0.09256073916438705
tafeng,2,expected,dnntsp,transition_strength,1,2813,1358,0.5172413793103448,0.002669720115880939,0.002653993613263506,-0.0051647262358834375,0.010926593279079709,False,True,-0.0032463816654545417,False,-0.019795484913158853,-0.022659668233959648
tafeng,2,expected,triple2vec,relational_strength,1,2813,1358,0.5172413793103448,-0.00873636343737943,-0.008956644919235021,-0.01565090152173725,-0.002588913658390614,True,False,-0.018297314418387653,True,-0.004042097843621659,-0.03376856994098369
