dataset,feature,min_baskets,method,n_users_slice,n_users_feature,rho_raw_mean,rho_raw_sd,rho_centered_mean,rho_centered_sd,n_keysets,rho_centered_sign
instacart,transition_strength,5,triple2vec,3102.3333333333335,3102.3333333333335,0.21586617797870758,0.02398542424263185,0.11108866438934335,0.006378567452013049,3,positive
sam,relational_strength,2,cbp,3678.0,3678.0,-0.10240917146518942,0.021968480732722236,-0.018365699148792818,0.023535128903462356,3,negative
sam,relational_strength,2,diffrec,3678.0,3678.0,0.0498589742261795,0.00849090792453202,0.0793930431773078,0.020073189387639988,3,positive
sam,relational_strength,2,dnntsp,3678.0,3678.0,-0.023502929570666478,0.018612235515250732,-0.019163033722491802,0.0335634508290882,3,mixed
sam,relational_strength,2,fpmc,3678.0,3678.0,-0.12463380925556329,0.017131436761749597,-0.10624603295904318,0.025252058923594587,3,negative
sam,relational_strength,2,frequency,3678.0,3678.0,-0.10693716728254243,0.019538878293544126,-0.03315158828610074,0.017548974826175092,3,negative
sam,relational_strength,2,recency,3678.0,3678.0,-0.1291633797443242,0.018517463049574346,-0.16525782474332854,0.01780340253731115,3,negative
sam,relational_strength,2,tifuknn,3678.0,3678.0,-0.10455306203769867,0.016740115524893365,-0.027594989072190046,0.01299604819451543,3,negative
sam,relational_strength,2,triple2vec,3678.0,3678.0,-0.09831512679024522,0.0178577312378537,-0.013832134179760605,0.013429806199421182,3,mixed
sam,relational_strength,3,cbp,2664.3333333333335,2664.3333333333335,-0.08472475992167279,0.026830235492587583,0.011478949997717985,0.014679552750366262,3,mixed
sam,relational_strength,3,diffrec,2664.3333333333335,2664.3333333333335,0.03577777782309278,0.002771558494857942,0.04964360968939067,0.025796680990471388,3,positive
sam,relational_strength,3,dnntsp,2664.3333333333335,2664.3333333333335,-0.017034117384513773,0.03254621554257394,-0.026221665467559788,0.02899195851439123,3,mixed
sam,relational_strength,3,fpmc,2664.3333333333335,2664.3333333333335,-0.12989311702335296,0.022543217597720194,-0.1450020540792262,0.03269653349068315,3,negative
sam,relational_strength,3,frequency,2664.3333333333335,2664.3333333333335,-0.09112309440563866,0.02874250915195476,-0.003930578332785092,0.015643835163196226,3,mixed
sam,relational_strength,3,recency,2664.3333333333335,2664.3333333333335,-0.10605899525521822,0.03774954769416723,-0.14378104915437753,0.02602517869017834,3,negative
